eng_name,kanji,hepburn
Air Lock,エアロック,Ea Rokku
Arena Trap,ありじごく,Arijigoku
Battle Armor,カブトアーマー,Kabuto Āmā
Blaze,もうか,Mōka
Chlorophyll,ようりょくそ,Yōryokuso
Clear Body,クリアボディ,Kuria Bodi
Cloud Nine,ノーてんき,Nō Tenki
Color Change,へんしょく,Henshoku
Compound Eyes,ふくがん,Fukugan
Cute Charm,メロメロボディ,Meromero Bodi
Damp,しめりけ,Shimerike
Drizzle,あめふらし,Amefurashi
Drought,ひでり,Hideri
Early Bird,はやおき,Hayaoki
Effect Spore,ほうし,Hōshi
Flame Body,ほのおのからだ,Honō no Karada
Flash Fire,もらいび,Moraibi
Forecast,てんきや,Tenkiya
Guts,こんじょう,Konjō
Huge Power,ちからもち,Chikara Mochi
Hustle,はりきり,Harikiri
Hyper Cutter,かいりきバサミ,Kairiki Basami
Illuminate,はっこう,Hakkō
Immunity,めんえき,Men'eki
Inner Focus,せいしんりょく,Seishinryoku
Insomnia,ふみん,Fumin
Intimidate,いかく,Ikaku
Keen Eye,するどいめ,Surudoi Me
Levitate,ふゆう,Fuyū
Lightning Rod,ひらいしん,Hiraishin
Limber,じゅうなん,Jūnan
Liquid Ooze,ヘドロえき,Hedoro Eki
Magma Armor,マグマのよろい,Maguma no Yoroi
Magnet Pull,じりょく,Jiryoku
Marvel Scale,ふしぎなうろこ,Fushigi na Uroko
Minus,マイナス,Mainasu
Natural Cure,しぜんかいふく,Shizen Kaifuku
Oblivious,どんかん,Donkan
Overgrow,しんりょく,Shinryoku
Own Tempo,マイペース,Mai Pēsu
Pickup,ものひろい,Mono Hiroi
Plus,プラス,Purasu
Poison Point,どくのトゲ,Doku no Toge
Pressure,プレッシャー,Puresshā
Pure Power,ヨガパワー,Yoga Pawā
Rain Dish,あめうけざら,Ame Ukezara
Rock Head,いしあたま,Ishi Atama
Rough Skin,さめはだ,Samehada
Run Away,にげあし,Nige Ashi
Sand Stream,すなおこし,Suna Okoshi
Sand Veil,すながくれ,Sunagakure
Serene Grace,てんのめぐみ,Ten no Megumi
Shadow Tag,かげふみ,Kage Fumi
Shed Skin,だっぴ,Dappi
Shell Armor,シェルアーマー,Sheru Āmā
Shield Dust,りんぷん,Rinpun
Soundproof,ぼうおん,Bō'on
Speed Boost,かそく,Kasoku
Static,せいでんき,Seidenki
Stench,あくしゅう,Akushū
Sticky Hold,ねんちゃく,Nenchaku
Sturdy,がんじょう,Ganjō
Suction Cups,きゅうばん,Kyūban
Swarm,むしのしらせ,Mushi no Shirase
Swift Swim,すいすい,Suisui
Synchronize,シンクロ,Shinkuro
Thick Fat,あついしぼう,Atsui Shibō
Torrent,げきりゅう,Gekiryū
Trace,トレース,Torēsu
Truant,なまけ,Namake
Vital Spirit,やるき,Yaruki
Volt Absorb,ちくでん,Chikuden
Water Absorb,ちょすい,Chosui
Water Veil,みずのベール,Mizu no Bēru
White Smoke,しろいけむり,Shiroi Kemuri
Wonder Guard,ふしぎなまもり,Fushigina Mamori
