eng_name,kanji,hepburn
Aguav Berry,バンジのみ,Banji no Mi
Apicot Berry,ズアのみ,Zua no Mi
Aspear Berry,ナナシのみ,Nanashi no Mi
Belue Berry,ベリブのみ,Beribu no Mi
Berry Juice,きのみジュース,Kinomi Juice
Black Belt,くろおび,Kuro Obi
Black Glasses,くろいメガネ,Kuroi Megane
Bluk Berry,ブリーのみ,Burī no Mi
Bright Powder,ひかりのこな,Hikari no Kona
Charcoal,もくたん,Mokutan
Cheri Berry,クラボのみ,Kurabo no Mi
Chesto Berry,カゴのみ,Kago no Mi
Choice Band,こだわりハチマキ,Kodawari Hachimaki
Claw Fossil,ツメのカセキ,Tsume no Kaseki
Cornn Berry,モコシのみ,Mokoshi no Mi
Deep Sea Scale,しんかいのウロコ,Shinkai no Uroko
Deep Sea Tooth,しんかいのキバ,Shinkai no Kiba
Dive Ball,ダイブボール,Dive Ball
Dome Fossil,こうらのカセキ,Kōra no Kaseki
Dragon Fang,りゅうのキバ,Ryū no Kiba
Dragon Scale,りゅうのウロコ,Ryū no Uroko
Durin Berry,ドリのみ,Dori no Mi
Enigma Berry,ナゾのみ,Nazo no Mi
Fast Ball,スピードボール,Speed Ball
Figy Berry,フィラのみ,Fira no Mi
Fire Stone,ほのおのいし,Honō no Ishi
Focus Band,きあいのハチマキ,Kiai no Hachimaki
Friend Ball,フレンドボール,Friend Ball
Ganlon Berry,リュガのみ,Ryuga no Mi
Great Ball,スーパーボール,Super Ball
Grepa Berry,ウブのみ,Ubu no Mi
Hard Stone,かたいいし,Katai Ishi
Heavy Ball,ヘビーボール,Heavy Ball
Helix Fossil,かいのカセキ,Kai no Kaseki
Hondew Berry,ロメのみ,Rome no Mi
Iapapa Berry,イアのみ,Ia no Mi
Kelpsy Berry,ネコブのみ,Nekobu no Mi
King's Rock,おうじゃのしるし,Ōja no Shirushi
Lansat Berry,サンのみ,San no Mi
Lax Incense,のんきのおこう,Nonki no Okou
Leaf Stone,リーフのいし,Leaf no Ishi
Leftovers,たべのこし,Tabe Nokoshi
Leppa Berry,ヒメリのみ,Himeri no Mi
Level Ball,レベルボール,Level Ball
Liechi Berry,チイラのみ,Chyla no Mi
Light Ball,でんきだま,Denki Dama
Love Ball,ラブラブボール,Love-Love Ball
Lucky Punch,ラッキーパンチ,Lucky Punch
Lum Berry,ラムのみ,Ramu no Mi
Lure Ball,ルアーボール,Lure Ball
Luxury Ball,ゴージャスボール,Gorgeous Ball
Macho Brace,きょうせいギプス,Kyōsei Gips
Magnet,じしゃく,Jishaku
Mago Berry,マゴのみ,Mago no Mi
Magost Berry,ゴスのみ,Gosu no Mi
Master Ball,マスターボール,Master Ball
Mental Herb,メンタルハーブ,Mental Herb
Metal Coat,メタルコート,Metal Coat
Metal Powder,メタルパウダー,Metal Powder
Miracle Seed,きせきのタネ,Kiseki no Tane
Moon Ball,ムーンボール,Moon Ball
Moon Stone,つきのいし,Tsuki no Ishi
Mystic Water,しんぴのしずく,Shinpi no Shizuku
Nanab Berry,ナナのみ,Nana no Mi
Nest Ball,ネストボール,Nest Ball
Net Ball,ネットボール,Net Ball
Never-Melt Ice,とけないこおり,Tokenai Kōri
Nomel Berry,ノメルのみ,Nomel no Mi
Old Amber,ひみつのコハク,Himitsu no Kohaku
Oran Berry,オレンのみ,Oren no Mi
Pamtre Berry,シーヤのみ,Shīya no Mi
Pecha Berry,モモンのみ,Momon no Mi
Persim Berry,キーのみ,Kī no Mi
Petaya Berry,ヤタピのみ,Yatapi no Mi
Pinap Berry,パイルのみ,Pairu no Mi
Poison Barb,どくバリ,Doku Bari
Poke Ball,モンスターボール,Monster Ball
Pomeg Berry,ザロクのみ,Zaroku no Mi
Premier Ball,プレミアボール,Premier Ball
Qualot Berry,タポルのみ,Tapol no Mi
Quick Claw,せんせいのツメ,Sensei no Tsume
Rabuta Berry,ラブタのみ,Rabuta no Mi
Rawst Berry,チーゴのみ,Chīgo no Mi
Razz Berry,ズリのみ,Zuri no Mi
Repeat Ball,リピートボール,Repeat Ball
Root Fossil,ねっこのカセキ,Nekko no Kaseki
Safari Ball,サファリボール,Safari Ball
Salac Berry,カムラのみ,Camula no Mi
Scope Lens,ピントレンズ,Pint Lens
Sea Incense,うしおのおこう,Ushio no Okou
Sharp Beak,するどいくちばし,Surudoi Kuchibashi
Shell Bell,かいがらのすず,Kaigara no Suzu
Silk Scarf,シルクのスカーフ,Silk no Scarf
Silver Powder,ぎんのこな,Gin no Kona
Sitrus Berry,オボンのみ,Obon no Mi
Soft Sand,やわらかいすな,Yawarakai Suna
Soul Dew,こころのしずく,Kokoro no Shizuku
Spell Tag,のろいのおふだ,Noroi no Ofuda
Spelon Berry,ノワキのみ,Nowaki no Mi
Sport Ball,コンペボール,Compe Ball
Starf Berry,スターのみ,Star no Mi
Sun Stone,たいようのいし,Taiyō no Ishi
Tamato Berry,マトマのみ,Matoma no Mi
Thick Club,ふといホネ,Futoi Hone
Thunder Stone,かみなりのいし,Kaminari no Ishi
Timer Ball,タイマーボール,Timer Ball
Twisted Spoon,まがったスプーン,Magatta Spoon
Ultra Ball,ハイパーボール,Hyper Ball
Up-Grade,アップグレード,Upgrade
Water Stone,みずのいし,Mizu no Ishi
Watmel Berry,カイスのみ,Kaisu no Mi
Wepear Berry,セシナのみ,Seshina no Mi
White Herb,しろいハーブ,Shiroi Herb
Wiki Berry,ウイのみ,Wi no Mi
